Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.61,176,1641,818,0.015,50,0.01
Completed,0.61,149,1902,1008,0.001,50,0.05
Completed,0.46,37,769,2845,0.407,25,0.25
Completed,0.52,49,2873,1799,0.848,28,0.05
Completed,0.33,27,46,2028,0.516,33,0.25
Completed,0.61,208,4055,491,0.3,2,0.025
Completed,0.52,72,1522,3433,0.014,10,0.001
Completed,0.61,145,4118,1193,0.953,43,0.005
Completed,0.46,56,3509,4752,0.568,27,0.005
Completed,0.52,70,871,1913,0.401,19,0.05
Completed,0.5,65,1034,2677,0.626,24,0.001
Completed,0.61,179,3355,540,0.342,29,0.05
Completed,0.48,62,3959,4179,0.198,39,0.25
Completed,0.42,44,543,3577,0.986,35,0.01
Completed,0.48,43,4092,4866,0.759,20,0.01
Completed,0.35,25,181,3860,0.823,33,0.05
Completed,0.41,35,2783,3747,0.888,17,0.1
Completed,0.59,105,2597,734,0.046,18,0.005
Completed,0.49,68,4483,4607,0.431,3,0.1
Completed,0.44,62,2396,2372,0.599,45,0.05
Completed,0.54,52,3908,3224,0.927,23,0.25
Completed,0.46,35,2429,2046,0.36,27,0.01
Completed,0.35,25,114,4295,0.147,43,0.05
Completed,0.61,173,3469,437,0.581,8,0.1
Completed,0.59,138,4631,1629,0.007,35,0.005
Completed,0.46,52,4906,3913,0.514,36,0.05
Completed,0.61,685,1552,118,0.196,14,0.1
Completed,0.47,41,1073,3567,0.296,5,0.001
Completed,0.48,42,390,1266,0.654,41,0.01
Completed,0.59,108,1671,1394,0.771,9,0.01
Completed,0.36,29,2192,4438,0.444,47,0.025
Completed,0.57,76,3299,1451,0.733,10,0.001
Completed,0.44,45,2519,3155,0.999,1,0.005
Completed,0.47,40,1603,5000,0.001,50,0.025
Completed,0.49,53,507,1750,0.001,50,0.025
Completed,0.32,41,3530,1,0.005,1,0.001
Completed,0.59,101,1302,1209,0.001,1,0.001
Completed,0.58,128,1769,1868,0.142,50,0.05
Completed,0.47,48,1569,4310,0.554,36,0.001
Completed,0.61,199,1439,524,0.001,1,0.1
Completed,0.58,115,1507,1258,0.188,11,0.005
Completed,0.48,63,4193,3803,0.606,50,0.1
Completed,0.57,100,1539,1415,0.115,1,0.25
Completed,0.51,67,1409,3219,0.532,1,0.001
Completed,0.56,69,4791,3311,0.892,48,0.001
Completed,0.55,71,3927,2969,0.001,50,0.01
Completed,0.49,50,4902,4790,0.243,50,0.001
Completed,0.56,80,1400,1946,0.999,50,0.01
Completed,0.6,815,1858,110,0.999,50,0.05
Completed,0.62,194,2505,175,0.658,50,0.025
Completed,0.62,223,3450,484,0.204,50,0.025
Completed,0.6,157,1804,963,0.597,50,0.005
Completed,0.6,122,2537,460,0.999,50,0.01
Completed,0.58,93,1482,1508,0.283,50,0.01
Completed,0.57,89,4860,2318,0.001,50,0.025
Completed,0.53,67,4638,3614,0.768,1,0.01
Completed,0.54,86,1456,2055,0.001,50,0.01
Completed,0.54,51,1738,3152,0.602,31,0.025
Completed,0.62,339,1251,265,0.365,25,0.005
Completed,0.57,78,4763,2454,0.291,50,0.25
Completed,0.55,72,1793,2369,0.134,50,0.1
Completed,0.53,73,4049,3078,0.782,50,0.025
Completed,0.47,53,1657,4898,0.842,1,0.1
Completed,0.55,82,3941,3176,0.221,1,0.005
Completed,0.46,40,1480,4886,0.309,50,0.005
Completed,0.61,230,1212,552,0.999,50,0.01
Completed,0.58,93,4040,2202,0.999,50,0.005
Completed,0.32,61,2548,1,0.001,1,0.25
Completed,0.32,47,3997,1,0.001,1,0.05
Completed,0.58,94,3363,1327,0.189,50,0.05
Completed,0.59,168,3371,1009,0.814,50,0.005
Completed,0.61,200,1479,615,0.999,44,0.005
Completed,0.47,45,1670,4350,0.775,10,0.025
Completed,0.6,997,2904,50,0.001,38,0.05
Completed,0.55,88,4146,2973,0.607,2,0.05
Completed,0.6,136,1714,1047,0.413,19,0.05
Completed,0.59,123,1883,1532,0.141,28,0.1
Completed,0.55,55,2709,1250,0.204,35,0.005
Completed,0.58,86,1561,1679,0.999,16,0.1
Completed,0.56,71,1559,2037,0.001,4,0.001
Completed,0.54,72,1720,2953,0.525,27,0.05
Completed,0.59,105,1243,963,0.001,1,0.05
Completed,0.6,95,3998,1440,0.059,50,0.25
Completed,0.52,52,1653,2983,0.898,41,0.05
Completed,0.56,121,4328,2491,0.188,10,0.025
Completed,0.59,141,1227,985,0.849,38,0.05
Completed,0.62,191,1458,497,0.82,19,0.025
Completed,0.57,80,3514,1700,0.829,33,0.05
Completed,0.6,144,1898,1039,0.623,31,0.01
Completed,0.55,69,3013,1572,0.707,22,0.005
Completed,0.52,74,1694,3575,0.554,40,0.05
Completed,0.59,103,3008,946,0.606,31,0.05
Completed,0.6,124,4085,1513,0.495,35,0.05
Completed,0.58,95,4538,2147,0.74,11,0.01
Completed,0.6,140,1570,989,0.956,23,0.025
Completed,0.61,178,1082,638,0.427,41,0.25
Completed,0.58,99,4239,1819,0.001,36,0.01
Completed,0.48,57,4832,4347,0.333,1,0.001
Completed,0.54,73,1784,3106,0.753,23,0.01
Completed,0.55,69,1667,2350,0.001,18,0.25
Completed,0.49,44,3669,4429,0.78,46,0.01
Completed,0.59,117,1475,1045,0.999,18,0.05
Completed,0.47,42,1462,4646,0.001,1,0.025
Completed,0.54,65,4095,3433,0.969,20,0.001
Completed,0.49,53,1713,3734,0.001,42,0.025
Completed,0.47,44,1599,4759,0.142,17,0.025
Completed,0.32,45,1278,1,0.001,1,0.001
Completed,0.5,48,3809,4015,0.973,14,0.01
Completed,0.59,91,4399,1948,0.999,50,0.05
Completed,0.5,48,3899,4056,0.999,12,0.05
Completed,0.6,105,1575,1138,0.999,50,0.1
Completed,0.58,93,1482,1373,0.129,43,0.001
Completed,0.56,74,1093,1594,0.032,16,0.001
Completed,0.52,60,3690,3561,0.852,34,0.025
Completed,0.6,152,1147,780,0.728,29,0.1
Completed,0.49,48,5000,5000,0.671,47,0.1
Completed,0.51,60,4998,3735,0.001,50,0.25
Completed,0.59,163,1107,905,0.001,32,0.025
Completed,0.48,76,3691,4370,0.862,29,0.001
Completed,0.6,1872,1298,69,0.78,40,0.01
Completed,0.61,290,3101,269,0.999,50,0.1
Completed,0.6,131,4016,1402,0.999,50,0.01
Completed,0.6,114,2947,803,0.999,50,0.025
Completed,0.6,138,3946,1231,0.001,43,0.01
Completed,0.62,300,3314,260,0.269,50,0.025
Completed,0.55,71,4291,2719,0.999,1,0.01
Completed,0.45,56,3527,3811,0.246,1,0.01
Completed,0.62,212,1250,311,0.999,50,0.005
Completed,0.62,286,3381,281,0.999,50,0.005
Completed,0.61,1938,1166,84,0.764,50,0.005
Completed,0.61,225,2719,302,0.999,50,0.025
Completed,0.5,66,4880,4082,0.692,48,0.025
Completed,0.6,270,4515,1553,0.001,50,0.001
Completed,0.54,52,4042,3554,0.999,2,0.005
Completed,0.62,432,1618,281,0.646,47,0.025
Completed,0.62,331,1710,322,0.682,46,0.05
Completed,0.57,89,3982,2292,0.999,13,0.25
Completed,0.58,88,1775,1818,0.999,40,0.025
Completed,0.62,146,3325,742,0.999,43,0.05
Completed,0.53,59,1752,3395,0.281,25,0.05
Completed,0.56,117,4749,2428,0.001,27,0.05
Completed,0.5,63,4234,3780,0.999,1,0.025
Completed,0.58,138,4381,1962,0.999,1,0.001
Completed,0.53,60,2620,1237,0.999,10,0.025
Completed,0.54,61,1790,3202,0.999,25,0.05
Completed,0.59,122,4448,1736,0.001,6,0.05
Completed,0.54,88,4584,3049,0.001,46,0.05
Completed,0.55,143,4547,2718,0.001,39,0.001
Completed,0.6,118,1767,1172,0.999,50,0.05
Completed,0.59,142,1764,1238,0.001,50,0.025
Completed,0.57,103,3854,2209,0.999,8,0.05
Completed,0.58,127,1400,1192,0.999,3,0.1
Completed,0.58,139,1613,1400,0.001,50,0.005
Completed,0.48,44,1794,4937,0.001,5,0.005
Completed,0.48,53,4654,3831,0.999,1,0.05
Completed,0.55,62,3285,1997,0.001,15,0.05
Completed,0.54,73,3767,2694,0.522,5,0.05
Completed,0.53,62,1649,2809,0.057,8,0.05
Completed,0.59,98,4277,1721,0.934,50,0.25
Completed,0.56,69,1841,2381,0.999,34,0.1
Completed,0.62,160,4888,686,0.001,1,0.025
Completed,0.48,46,3646,4517,0.547,50,0.01
Completed,0.59,86,4389,1745,0.001,7,0.025
Completed,0.59,140,1526,873,0.001,1,0.01
Completed,0.6,148,3301,647,0.999,45,0.025
Completed,0.58,95,3981,2170,0.001,40,0.05
Completed,0.54,87,4688,2721,0.999,50,0.05
Completed,0.53,52,1703,3472,0.363,31,0.025
Completed,0.54,56,1841,2891,0.999,29,0.1
Completed,0.45,61,3834,3904,0.91,30,0.025
Completed,0.54,69,1788,2936,0.001,22,0.025
Completed,0.57,74,4310,2225,0.001,8,0.025
Completed,0.56,69,4175,2542,0.001,1,0.001
Completed,0.52,65,4044,3618,0.001,1,0.001
Completed,0.5,60,1168,3129,0.001,5,0.025
Completed,0.52,58,3502,3319,0.001,50,0.01
Completed,0.55,79,4590,2708,0.001,1,0.025
Completed,0.57,77,1790,1950,0.001,1,0.025
Completed,0.49,66,4095,3994,0.001,3,0.05
Completed,0.45,41,1253,5000,0.999,1,0.05
Completed,0.49,54,3930,4523,0.999,1,0.005
Completed,0.48,61,3980,4193,0.999,1,0.005
Completed,0.6,134,4925,1297,0.999,16,0.05
Completed,0.49,62,4611,4612,0.999,50,0.025
Completed,0.44,49,1603,4232,0.999,50,0.1
Completed,0.49,72,4734,4139,0.001,1,0.05
Completed,0.47,46,3497,3985,0.001,50,0.25
Completed,0.49,51,4874,4663,0.001,50,0.025
Completed,0.47,44,1663,5000,0.124,1,0.05
Completed,0.53,72,4217,2858,0.999,1,0.001
Completed,0.56,77,4093,2482,0.999,1,0.001
Completed,0.61,185,1587,685,0.001,34,0.1
Completed,0.48,46,1736,4499,0.001,1,0.05
Completed,0.6,129,1554,870,0.999,1,0.25
Completed,0.48,50,4007,4707,0.999,1,0.025
Completed,0.61,396,1477,229,0.999,50,0.05
Completed,0.54,68,4773,3426,0.999,50,0.01
Completed,0.54,70,4771,3576,0.001,50,0.25
Completed,0.6,157,4702,1188,0.564,18,0.005
Completed,0.59,105,1869,1589,0.999,1,0.01
Completed,0.47,45,4848,4852,0.001,1,0.1
Completed,0.59,92,4139,1784,0.999,1,0.01
Completed,0.49,49,3994,4312,0.001,50,0.025
Completed,0.61,249,1267,583,0.001,30,0.005
Completed,0.55,59,4035,3015,0.999,16,0.25
Completed,0.46,62,860,3047,0.999,11,0.05
Completed,0.61,175,5000,715,0.999,1,0.05
Completed,0.57,79,723,899,0.001,22,0.25
Completed,0.5,61,1834,3657,0.98,18,0.05
Completed,0.58,81,4277,1884,0.001,50,0.025
Completed,0.61,141,1484,747,0.001,16,0.05
Completed,0.6,140,4774,1322,0.001,1,0.01
Completed,0.54,91,3760,2534,0.999,50,0.05
Completed,0.55,152,3859,2566,0.001,50,0.001
Completed,0.44,46,1449,3955,0.503,1,0.005
Completed,0.54,64,5000,2885,0.999,50,0.025
Completed,0.48,45,3815,4430,0.999,1,0.1
Completed,0.49,52,1824,3731,0.001,1,0.025
Completed,0.55,66,4801,2604,0.999,1,0.1
Completed,0.57,94,4727,2382,0.999,50,0.025
Completed,0.54,63,1848,3148,0.001,50,0.01
Completed,0.54,70,3816,3149,0.999,50,0.005
Completed,0.59,102,4711,1716,0.502,34,0.025
Completed,0.56,75,1792,2060,0.999,50,0.25
Completed,0.57,82,4149,2379,0.587,1,0.005
Completed,0.61,202,4789,858,0.001,13,0.001
Completed,0.49,61,1821,3714,0.999,50,0.025
Completed,0.61,131,4324,1279,0.999,50,0.025
Completed,0.58,79,4153,2126,0.001,1,0.05
Completed,0.54,73,4607,3516,0.001,1,0.05
Completed,0.62,218,4889,468,0.999,1,0.001
Completed,0.41,34,936,3876,0.001,50,0.025
Completed,0.48,45,3578,4081,0.001,50,0.05
Completed,0.49,56,4237,5000,0.999,32,0.005
Completed,0.5,61,4156,4654,0.999,50,0.001
Completed,0.55,58,3946,3283,0.001,1,0.025
Completed,0.59,103,1792,1676,0.505,1,0.005
Completed,0.49,62,4073,4704,0.001,1,0.05
Completed,0.48,59,5000,4477,0.999,50,0.001
Completed,0.61,185,1729,751,0.999,50,0.1
Completed,0.48,66,1907,4500,0.403,1,0.1
Completed,0.48,57,3752,4111,0.999,50,0.005
Completed,0.49,51,1828,4115,0.513,1,0.01
Completed,0.61,167,3579,856,0.999,38,0.005
Completed,0.54,78,1829,2801,0.001,35,0.05
Completed,0.58,135,4635,1728,0.001,50,0.005
Completed,0.59,101,1794,1477,0.999,1,0.005
Completed,0.49,46,4153,4784,0.999,1,0.25
Completed,0.58,101,4040,1718,0.999,23,0.005
Completed,0.61,138,4623,1054,0.001,1,0.25
Completed,0.48,45,4045,4830,0.001,50,0.25
Completed,0.52,52,1679,3404,0.999,1,0.25
Completed,0.49,54,1774,4429,0.001,50,0.25
Completed,0.58,104,1777,1835,0.536,1,0.1
Completed,0.6,143,3586,724,0.51,50,0.05
Completed,0.53,69,3080,1830,0.999,50,0.1
Completed,0.57,79,3995,2280,0.365,50,0.01
Completed,0.61,145,4819,967,0.999,1,0.025
Completed,0.47,57,1815,3976,0.437,50,0.005
Completed,0.6,114,4221,1365,0.385,50,0.05
Completed,0.57,72,4509,2399,0.001,1,0.005
Completed,0.5,47,1850,4066,0.999,1,0.005
Completed,0.59,139,4475,1387,0.001,26,0.01
Completed,0.57,73,4075,2287,0.001,42,0.05
Completed,0.59,110,2748,715,0.001,36,0.05
Completed,0.58,93,4630,1633,0.001,1,0.25
Completed,0.49,61,4174,4171,0.001,50,0.005
Completed,0.46,50,3894,4255,0.001,1,0.01
Completed,0.53,58,4799,3453,0.001,50,0.025
Completed,0.59,117,1476,1131,0.999,2,0.05
Completed,0.49,55,1742,4674,0.415,50,0.005
Completed,0.48,53,4140,4330,0.999,50,0.05
Completed,0.53,69,4403,3431,0.481,50,0.001
Completed,0.59,99,1769,1660,0.999,34,0.05
Completed,0.47,65,4797,3879,0.999,50,0.025
Completed,0.48,50,1753,4549,0.001,26,0.25
Completed,0.53,52,1741,3503,0.999,1,0.25
Completed,0.49,57,4356,5000,0.509,1,0.025
Completed,0.59,85,3538,1321,0.714,1,0.25
Completed,0.53,55,1818,3235,0.999,50,0.05
Completed,0.46,52,4695,4284,0.999,1,0.001
Completed,0.61,206,4377,937,0.001,50,0.025
Completed,0.48,43,4277,4882,0.999,18,0.025
Completed,0.48,47,1758,4646,0.999,1,0.005
Completed,0.48,62,3976,3845,0.4,16,0.05
Completed,0.48,63,4020,4545,0.999,50,0.25
Completed,0.46,66,1830,3883,0.001,1,0.025
Completed,0.6,117,3451,997,0.999,29,0.05
Completed,0.54,69,4243,2815,0.439,1,0.25
Completed,0.61,167,1667,745,0.999,43,0.01
Completed,0.58,90,4004,1963,0.001,1,0.05
Completed,0.58,83,1842,1849,0.001,1,0.005
Completed,0.61,114,4160,1201,0.999,29,0.05
Completed,0.48,52,4487,4911,0.001,50,0.05
Completed,0.6,109,1729,1282,0.001,50,0.1
Completed,0.54,58,1766,3230,0.999,36,0.1
