Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.68,200,4199,3908,0.744,0.632
Completed,0.8,2499,3292,163,0.779,0.722
Completed,0.7,336,4282,4433,0.144,0.398
Completed,0.6,77,2484,2056,0.504,0.757
Completed,0.58,63,1365,3921,0.965,0.934
Completed,0.75,808,4411,1317,0.326,0.295
Completed,0.7,193,2861,3316,0.688,0.587
Completed,0.78,842,1063,667,0.079,0.197
Completed,0.68,103,627,4699,0.648,0.347
Completed,0.71,195,2579,2409,0.01,0.986
Completed,0.72,375,4838,2851,0.88,0.132
Completed,0.78,1907,1634,512,0.271,0.522
Completed,0.58,74,2058,3665,0.199,0.668
Completed,0.75,1349,4010,947,0.589,0.06
Completed,0.54,75,3731,4275,0.459,0.82
Completed,0.7,254,4999,3468,0.339,0.562
Completed,0.72,270,526,1583,0.818,0.462
Completed,0.72,454,3814,2601,0.789,0.031
Completed,0.56,82,1678,2298,0.361,0.925
Completed,0.61,196,1902,3643,0.064,0.869
Completed,0.74,839,4843,1446,0.525,0.211
Completed,0.7,328,4615,4025,0.056,0.348
Completed,0.57,75,2401,1223,0.595,0.701
Completed,0.59,51,23,3023,0.387,0.14
Completed,0.58,53,3189,3225,0.723,0.978
Completed,0.74,318,1047,1673,0.185,0.071
Completed,0.69,193,1530,4721,0.828,0.508
Completed,0.74,263,674,1359,0.569,0.267
Completed,0.59,68,4080,4897,0.572,0.814
Completed,0.64,123,1203,3401,0.998,0.671
Completed,0.74,369,3344,1848,0.414,0.253
Completed,0.77,593,91,90,0.731,0.953
Completed,0.58,56,63,4483,0.895,0.715
Completed,0.73,421,3265,2162,0.256,0.076
Completed,0.58,89,4153,2579,0.633,0.805
Completed,0.76,371,2199,310,0.025,0.415
Completed,0.7,326,1455,3405,0.444,0.269
Completed,0.62,113,4656,734,0.833,0.877
Completed,0.69,215,3083,4047,0.215,0.242
Completed,0.69,293,1129,1347,0.574,0.6
Completed,0.6,118,933,2938,0.129,0.95
Completed,0.78,844,2728,581,0.519,0.341
Completed,0.69,298,4846,4827,0.405,0.54
Completed,0.73,480,1798,2437,0.764,0.182
Completed,0.58,52,2011,4323,0.703,0.004
Completed,0.74,764,3807,1692,0.064,0.643
Completed,0.7,208,3464,3676,0.95,0.476
Completed,0.55,91,416,1092,0.341,0.866
Completed,0.69,132,576,3456,0.561,0.209
Completed,0.75,1297,3622,1157,0.171,0.568
Completed,0.7,279,3962,4094,0.784,0.299
Completed,0.58,68,2164,1764,0.426,0.907
Completed,0.59,138,1646,4918,0.108,0.776
Completed,0.73,698,4692,2190,0.747,0.386
Completed,0.61,83,2571,3023,0.36,0.749
Completed,0.79,1061,773,340,0.968,0.109
Completed,0.69,162,976,3828,0.29,0.442
Completed,0.58,83,2928,1410,0.93,0.832
Completed,0.71,389,4499,3175,0.054,0.033
Completed,0.63,128,1295,808,0.661,0.672
Completed,0.68,146,2359,2673,0.87,0.511
Completed,0.82,6976,4311,59,0.48,0.152
Completed,0.58,69,3421,4564,0.6,0.982
Completed,0.68,112,216,1924,0.241,0.374
Completed,0.59,58,165,4013,0.581,0.839
Completed,0.75,839,3370,1381,0.19,0.449
Completed,0.63,132,4371,3361,0.827,0.687
Completed,0.75,416,2419,778,0.468,0.047
Completed,0.72,326,1273,2625,0.002,0.147
Completed,0.79,1742,4477,265,0.642,0.506
Completed,0.69,159,2940,4515,0.279,0.362
Completed,0.58,58,988,2129,0.886,0.97
Completed,0.69,142,722,3720,0.317,0.573
Completed,0.74,310,2520,1050,0.957,0.214
Completed,0.55,148,4752,4357,0.088,0.919
Completed,0.74,737,1707,1657,0.696,0.311
Completed,0.62,63,2142,4791,0.773,0.379
Completed,0.57,103,3940,2474,0.382,0.769
Completed,0.72,356,3633,2896,0.51,0.095
Completed,0.77,649,588,623,0.152,0.734
Completed,0.68,131,433,2986,0.992,0.331
Completed,0.72,717,3481,376,0.354,0.939
Completed,0.69,196,3780,4876,0.723,0.179
Completed,0.73,520,1985,2232,0.114,0.537
Completed,0.65,186,1864,4137,0.417,0.652
Completed,0.74,637,4912,1721,0.806,0.013
Completed,0.58,114,2673,3491,0.18,0.867
Completed,0.75,553,877,1122,0.539,0.477
Completed,0.69,166,1146,4609,0.235,0.067
Completed,0.6,90,3100,1878,0.624,0.706
Completed,0.72,409,4630,2706,0.486,0.414
Completed,0.6,70,2265,3142,0.684,0.888
Completed,0.76,1180,4219,841,0.044,0.28
Completed,0.69,170,3209,3783,0.907,0.603
Completed,0.59,52,8,1455,0.299,0.244
Completed,0.63,79,152,3352,0.072,0.489
Completed,0.6,86,3200,630,0.712,0.847
Completed,0.7,288,4071,3963,0.333,0.017
Completed,0.64,110,2275,1275,0.941,0.625
Completed,0.69,210,1534,4389,0.526,0.557
Completed,0.73,619,4583,2098,0.136,0.167
Completed,0.55,61,2992,2536,0.757,0.966
Completed,0.8,1234,1197,198,0.398,0.327
Completed,0.69,140,845,4229,0.843,0.225
Completed,0.66,123,2800,1628,0.452,0.615
Completed,0.7,361,4940,3633,0.564,0.252
Completed,0.63,223,1738,980,0.207,0.891
Completed,0.57,101,1915,2885,0.263,0.792
Completed,0.77,1593,3870,478,0.902,0.434
Completed,0.69,245,3549,4743,0.018,0.703
Completed,0.69,157,347,2365,0.626,0.095
Completed,0.58,59,500,4962,0.471,0.997
Completed,0.73,487,3704,2302,0.861,0.357
Completed,0.71,377,4027,3115,0.25,0.525
Completed,0.7,188,2075,404,0.609,0.135
Completed,0.7,244,1578,3539,0.922,0.052
Completed,0.71,454,4782,1231,0.284,0.66
Completed,0.68,117,2645,4148,0.668,0.461
Completed,0.72,238,693,1866,0.06,0.82
Completed,0.62,139,3064,3979,0.081,0.789
Completed,0.76,927,1717,779,0.866,0.305
Completed,0.66,92,309,2998,0.484,0.503
Completed,0.73,449,3848,2288,0.709,0.02
Completed,0.71,325,4757,3541,0.898,0.197
Completed,0.7,237,1108,1742,0.174,0.712
Completed,0.69,222,1887,4522,0.553,0.472
Completed,0.76,1008,3353,233,0.267,0.985
Completed,0.65,139,3681,2778,0.577,0.651
Completed,0.69,143,2331,1921,0.354,0.137
Completed,0.59,82,927,4316,0.982,0.922
Completed,0.75,1024,4459,949,0.196,0.407
Completed,0.69,219,4126,4704,0.385,0.37
Completed,0.58,87,469,560,0.671,0.853
Completed,0.71,278,1253,3165,0.04,0.08
Completed,0.73,238,2718,1532,0.763,0.564
Completed,0.69,122,2656,3407,0.316,0.442
Completed,0.54,72,1500,1291,0.598,0.956
Completed,0.65,78,409,4936,0.222,0.234
Completed,0.71,1017,4372,328,0.942,0.749
Completed,0.7,257,4544,4074,0.629,0.537
Completed,0.75,322,696,1191,0.408,0.053
Completed,0.6,65,2417,2546,0.786,0.764
Completed,0.72,425,3448,2153,0.005,0.28
Completed,0.69,166,3267,4608,0.839,0.117
Completed,0.78,442,2120,147,0.12,0.601
Completed,0.7,166,1023,3616,0.747,0.341
Completed,0.61,84,4989,1666,0.464,0.824
Completed,0.57,93,3908,2913,0.151,0.896
Completed,0.6,63,62,2373,0.933,0.381
Completed,0.62,120,1779,3904,0.309,0.685
Completed,0.77,556,2817,855,0.529,0.17
Completed,0.71,175,2904,3124,0.989,0.26
Completed,0.58,109,1867,2258,0.208,0.776
Completed,0.64,63,151,4008,0.583,0.034
Completed,0.77,1161,3995,651,0.362,0.548
Completed,0.69,229,4922,4396,0.051,0.73
Completed,0.8,1049,953,263,0.771,0.246
Completed,0.58,63,2049,3512,0.393,0.937
Completed,0.73,397,3201,1869,0.675,0.454
Completed,0.69,188,3518,4268,0.48,0.182
Completed,0.61,81,2483,1057,0.7,0.665
Completed,0.71,153,763,2671,0.073,0.393
Completed,0.58,82,4615,1971,0.855,0.877
Completed,0.57,74,4284,3214,0.545,0.836
Completed,0.71,168,322,1424,0.262,0.321
Completed,0.69,151,1413,4810,0.886,0.613
Completed,0.78,697,2567,511,0.167,0.098
Completed,0.58,55,2804,4886,0.724,0.974
Completed,0.78,981,1343,435,0.438,0.491
Completed,0.61,69,559,3299,0.82,0.7
Completed,0.75,772,4212,1338,0.096,0.217
Completed,0.72,408,4392,2595,0.282,0.009
Completed,0.72,293,858,2046,0.507,0.523
Completed,0.65,65,2262,4183,0.128,0.293
Completed,0.61,100,3613,1143,0.913,0.809
Completed,0.69,180,3422,3744,0.243,0.583
Completed,0.74,729,1954,1637,0.966,0.069
Completed,0.56,74,1176,4638,0.338,0.873
Completed,0.83,13064,4826,21,0.625,0.358
Completed,0.7,248,3758,3777,0.81,0.426
Completed,0.71,159,222,883,0.025,0.91
Completed,0.71,288,1631,2883,0.655,0.157
Completed,0.65,102,2974,2500,0.432,0.639
Completed,0.7,182,3020,3472,0.658,0.073
Completed,0.7,274,1595,1833,0.379,0.587
Completed,0.65,61,187,4443,0.753,0.347
Completed,0.79,1168,3803,295,0.038,0.861
Completed,0.59,76,4801,4050,0.348,0.914
Completed,0.77,904,1231,687,0.564,0.43
Completed,0.58,60,2009,3078,0.193,0.628
Completed,0.73,310,3397,2226,0.972,0.145
Completed,0.69,171,3636,4771,0.184,0.495
Completed,0.58,65,2210,476,0.9,0.978
Completed,0.69,136,806,3262,0.28,0.205
Completed,0.62,116,4415,1457,0.558,0.689
Completed,0.72,366,4169,2711,0.868,0.526
Completed,0.72,159,592,2005,0.091,0.012
Completed,0.59,65,1376,4220,0.714,0.797
Completed,0.76,375,2761,1024,0.497,0.282
Completed,0.65,84,2534,4149,0.923,0.661
Completed,0.76,750,1456,1094,0.149,0.178
Completed,0.59,63,365,2630,0.516,0.889
Completed,0.73,483,4251,2086,0.304,0.405
Completed,0.71,329,4667,3333,0.118,0.317
