Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.61,110,4591,1139,0.26,0.44
Completed,0.37,13,579,3621,0.933,0.701
Completed,0.42,19,2322,2398,0.116,0.234
Completed,0.32,8,2510,4877,0.691,0.971
Completed,0.48,30,2695,2290,0.455,0.32
Completed,0.4,16,2487,4809,0.844,0.574
Completed,0.53,34,394,1051,0.171,0.104
Completed,0.4,17,4425,3572,0.531,0.85
Completed,0.61,110,2840,312,0.031,0.676
Completed,0.35,11,92,3990,0.4,0.215
Completed,0.38,19,3045,136,0.882,0.976
Completed,0.46,27,2396,1676,0.56,0.736
Completed,0.41,22,1925,4689,0.114,0.922
Completed,0.6,96,4959,1146,0.604,0.129
Completed,0.41,21,2578,3187,0.451,0.667
Completed,0.48,25,559,2062,0.952,0.4
Completed,0.5,34,1156,2744,0.664,0.366
Completed,0.33,14,2031,2752,0.671,0.43
Completed,0.38,19,245,1544,0.345,0.899
Completed,0.48,37,4886,3986,0.953,0.147
Completed,0.57,60,4135,2100,0.592,0.078
Completed,0.42,19,723,4540,0.234,0.814
Completed,0.61,103,1533,851,0.782,0.348
Completed,0.5,37,3611,3293,0.391,0.609
Completed,0.55,57,3966,346,0.892,0.934
Completed,0.5,36,1205,2865,0.282,0.174
Completed,0.59,66,1696,1588,0.732,0.641
Completed,0.44,26,3135,4108,0.094,0.403
Completed,0.61,129,3465,704,0.63,0.199
Completed,0.47,28,1406,3264,0.053,0.944
Completed,0.48,35,4265,4363,0.767,0.107
Completed,0.32,18,5000,727,0.15,0.999
Completed,0.43,23,999,4260,0.999,0.489
Completed,0.33,11,3825,4330,0.999,0.817
Completed,0.47,26,3529,4829,0.999,0.081
Completed,0.38,15,1210,5000,0.999,0.686
Completed,0.48,29,3839,4473,0.999,0.001
Completed,0.53,35,1465,3116,0.999,0.518
Completed,0.53,42,1352,2336,0.999,0.496
Completed,0.36,13,3069,4856,0.999,0.722
Completed,0.37,16,1676,4904,0.999,0.736
Completed,0.58,58,4223,2148,0.999,0.574
Completed,0.44,24,3063,4903,0.001,0.091
Completed,0.49,30,611,1819,0.999,0.001
Completed,0.44,75,1299,3016,0.001,0.615
Completed,0.42,18,2421,3175,0.999,0.511
Completed,0.3,11,1,1750,0.999,0.25
Completed,0.61,146,4926,575,0.822,0.734
Completed,0.32,10,1,2252,0.999,0.562
Completed,0.32,10,1,449,0.401,0.637
Completed,0.42,18,2293,2569,0.999,0.001
Completed,0.41,119,2518,2691,0.001,0.999
Completed,0.62,155,5000,619,0.562,0.628
Completed,0.3,13,1,1068,0.661,0.265
Completed,0.3,8,1,2207,0.001,0.008
Completed,0.45,23,2412,2166,0.089,0.001
Completed,0.61,89,2928,546,0.481,0.653
Completed,0.6,90,2869,301,0.915,0.764
Completed,0.3,13,1,433,0.851,0.724
Completed,0.3,13,1,659,0.981,0.25
Completed,0.32,11,1,313,0.58,0.285
