Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.43,659,2767,3742,9,0.805
Completed,0.55,351,1870,2312,3,0.045
Completed,0.44,511,1079,4161,6,0.58
Completed,0.62,206,4476,563,2,0.319
Completed,0.54,450,4995,2534,7,0.092
Completed,0.39,174,2255,2205,5,0.276
Completed,0.49,308,1084,2608,7,0.618
Completed,0.6,177,4471,1064,2,0.03
Completed,0.61,92,383,324,8,0.68
Completed,0.46,549,1710,4489,1,0.464
Completed,0.49,140,2582,1684,6,0.936
Completed,0.58,213,1857,1721,10,0.502
Completed,0.41,185,530,3386,2,0.346
Completed,0.62,225,3920,600,7,0.756
Completed,0.54,324,4616,2730,9,0.944
Completed,0.59,145,1250,1099,3,0.409
Completed,0.6,240,3963,945,6,0.85
Completed,0.54,100,893,1416,1,0.82
Completed,0.42,986,1351,4593,8,0.303
Completed,0.6,121,2954,682,4,0.534
Completed,0.48,408,3568,3939,3,0.632
Completed,0.57,3435,1968,8,7,0.395
Completed,0.39,175,239,3188,4,0.981
Completed,0.57,239,4340,2090,10,0.244
Completed,0.46,649,3843,4835,5,0.473
Completed,0.48,438,4600,4280,10,0.94
Completed,0.62,212,1121,369,5,0.211
Completed,0.47,367,1600,3468,7,0.665
Completed,0.47,184,2577,2350,2,0.436
Completed,0.49,235,3173,2872,4,0.274
Completed,0.42,101,2197,1773,9,0.512
Completed,0.56,153,3364,1658,8,0.903
Completed,0.6,225,4530,1134,10,0.3
Completed,0.61,748,4544,122,6,0.788
Completed,0.53,195,1367,2143,1,0.597
Completed,0.61,214,4611,785,10,0.597
Completed,0.6,193,4434,1171,1,0.29
Completed,0.62,294,4763,332,1,0.276
Completed,0.61,836,4552,110,10,0.683
Completed,0.61,171,1377,764,1,0.282
Completed,0.62,212,3183,311,10,0.601
Completed,0.61,227,4533,639,10,0.276
Completed,0.58,204,1567,1604,1,0.161
Completed,0.53,136,1435,2380,1,0.936
Completed,0.53,169,1463,2132,1,0.767
Completed,0.57,218,1469,1629,1,0.303
Completed,0.59,213,4610,1327,4,0.566
Completed,0.55,190,1427,2030,1,0.301
Completed,0.61,209,3167,499,10,0.788
Completed,0.6,194,4853,1159,4,0.171
Completed,0.61,205,5000,1012,8,0.999
Completed,0.53,284,1469,2425,5,0.999
Completed,0.58,235,1538,1328,3,0.001
Completed,0.6,134,896,748,10,0.999
Completed,0.58,155,990,1029,8,0.999
Completed,0.56,410,3966,2385,9,0.999
Completed,0.52,403,5000,2820,1,0.001
Completed,0.59,120,5000,1457,3,0.999
Completed,0.49,148,5000,5000,2,0.999
Completed,0.46,2250,5000,5000,10,0.001
Completed,0.53,155,4039,3105,3,0.999
Completed,0.59,226,5000,1383,9,0.999
Completed,0.32,2134,1,5000,10,0.001
Completed,0.56,182,5000,2243,6,0.999
Completed,0.49,258,5000,4427,2,0.999
Completed,0.46,1588,4659,5000,3,0.001
Completed,0.44,1331,3903,4753,2,0.001
Completed,0.59,125,5000,1886,2,0.999
Completed,0.61,204,1284,339,3,0.001
Completed,0.59,924,1237,47,3,0.999
Completed,0.61,258,4687,473,10,0.561
Completed,0.61,196,946,345,1,0.999
Completed,0.6,113,2413,429,1,0.652
Completed,0.61,160,1533,938,1,0.466
Completed,0.61,333,3558,344,1,0.999
Completed,0.58,167,4171,1995,10,0.927
Completed,0.58,166,4959,1701,1,0.68
Completed,0.61,282,3990,458,1,0.577
Completed,0.61,232,1245,512,10,0.48
Completed,0.62,201,2801,218,1,0.098
Completed,0.54,277,4384,2546,10,0.687
Completed,0.61,184,5000,953,10,0.447
Completed,0.59,96,4190,1912,10,0.749
Completed,0.6,165,1621,1057,1,0.581
Completed,0.62,385,5000,345,1,0.999
Completed,0.57,348,3982,2341,10,0.646
